fill_id,timestamp,order_id,client_id,side,quantity,price,capacity,venue,nbbo_bid,nbbo_ask
F-00039,2026-08-17T09:48:47.402,ORD-00038,CLIENT_B,BUY,5000,244.40,AGENCY,MARKET,244.39,244.40
F-00040,2026-08-17T09:48:57.828,ORD-00041,CLIENT_B,SELL,400,244.39,PRINCIPAL,INTERNAL,244.39,244.40
F-00041,2026-08-17T09:50:26.310,ORD-00043,CLIENT_A,BUY,2000,244.40,PRINCIPAL,INTERNAL,244.39,244.41
F-00042,2026-08-17T09:50:28.387,ORD-00044,CLIENT_A,BUY,1500,244.41,AGENCY,MARKET,244.40,244.41
F-00043,2026-08-17T09:50:42.733,ORD-00045,CLIENT_B,BUY,100,244.39,AGENCY,MARKET,244.38,244.39
F-00044,2026-08-17T09:50:53.991,ORD-00046,CLIENT_D,SELL,200,244.41,PRINCIPAL,INTERNAL,244.41,244.42
F-00045,2026-08-17T09:51:01.152,ORD-00047,CLIENT_I,BUY,1500,244.39,AGENCY,MARKET,244.38,244.39
F-00046,2026-08-17T09:51:31.988,ORD-00048,CLIENT_C,BUY,300,244.37,AGENCY,MARKET,244.36,244.37
F-00047,2026-08-17T09:52:39.294,ORD-00049,CLIENT_B,SELL,300,244.42,PRINCIPAL,INTERNAL,244.42,244.43
F-00048,2026-08-17T09:54:50.439,ORD-00051,CLIENT_B,SELL,100,244.30,PRINCIPAL,INTERNAL,244.29,244.31
F-00049,2026-08-17T09:55:42.432,ORD-00052,CLIENT_J,SELL,100,244.32,PRINCIPAL,INTERNAL,244.32,244.33
F-00050,2026-08-17T09:55:45.448,ORD-00053,CLIENT_D,SELL,3300,244.30,PRINCIPAL,INTERNAL,244.30,244.31
F-00051,2026-08-17T09:55:45.448,ORD-00053,CLIENT_D,SELL,1700,244.30,AGENCY,MARKET,244.30,244.31
F-00052,2026-08-17T09:57:51.446,ORD-00050,CLIENT_C,SELL,500,244.40,AGENCY,MARKET,244.40,244.41
F-00053,2026-08-17T09:58:48.901,ORD-00055,CLIENT_G,BUY,300,244.40,AGENCY,MARKET,244.39,244.40
F-00054,2026-08-17T09:59:03.540,ORD-00058,CLIENT_B,SELL,100,244.40,AGENCY,MARKET,244.40,244.41
F-00055,2026-08-17T09:59:30.481,ORD-00059,CLIENT_B,BUY,5000,244.35,PRINCIPAL,INTERNAL,244.34,244.36
F-00056,2026-08-17T09:59:42.094,ORD-00061,CLIENT_A,SELL,1500,244.41,PRINCIPAL,INTERNAL,244.41,244.42
F-00057,2026-08-17T09:59:42.255,ORD-00060,CLIENT_C,SELL,2500,244.42,PRINCIPAL,INTERNAL,244.41,244.43
F-00058,2026-08-17T10:00:19.512,ORD-00054,CLIENT_C,BUY,100,244.32,AGENCY,CROSS,244.32,244.34
F-00059,2026-08-17T10:00:19.512,ORD-00062,CLIENT_D,SELL,100,244.32,AGENCY,CROSS,244.32,244.34
F-00060,2026-08-17T10:00:19.512,ORD-00062,CLIENT_D,SELL,1900,244.33,PRINCIPAL,INTERNAL,244.32,244.34
F-00061,2026-08-17T10:01:22.240,ORD-00063,CLIENT_E,BUY,1900,244.28,PRINCIPAL,INTERNAL,244.27,244.28
F-00062,2026-08-17T10:01:22.240,ORD-00063,CLIENT_E,BUY,1100,244.28,AGENCY,MARKET,244.27,244.28
F-00063,2026-08-17T10:03:01.634,ORD-00064,CLIENT_D,SELL,300,244.26,AGENCY,MARKET,244.26,244.27
F-00064,2026-08-17T10:03:18.711,ORD-00042,CLIENT_H,BUY,2000,244.24,PRINCIPAL,INTERNAL,244.23,244.25
F-00065,2026-08-17T10:03:49.694,ORD-00065,CLIENT_B,BUY,200,244.28,AGENCY,MARKET,244.27,244.28
F-00066,2026-08-17T10:04:20.550,ORD-00066,CLIENT_F,SELL,300,244.34,PRINCIPAL,INTERNAL,244.34,244.35
F-00067,2026-08-17T10:05:16.900,ORD-00067,CLIENT_B,SELL,200,244.36,PRINCIPAL,INTERNAL,244.36,244.37
F-00068,2026-08-17T10:06:20.660,ORD-00068,CLIENT_B,SELL,1500,244.40,PRINCIPAL,INTERNAL,244.40,244.41
F-00069,2026-08-17T10:06:20.660,ORD-00068,CLIENT_B,SELL,3500,244.40,AGENCY,MARKET,244.40,244.41
F-00070,2026-08-17T10:06:23.196,ORD-00060,CLIENT_C,SELL,2500,244.42,AGENCY,MARKET,244.42,244.43
F-00071,2026-08-17T10:06:50.166,ORD-00069,CLIENT_G,SELL,100,244.43,AGENCY,MARKET,244.43,244.44
F-00072,2026-08-17T10:07:16.826,ORD-00070,CLIENT_H,BUY,100,244.40,AGENCY,MARKET,244.39,244.40
F-00073,2026-08-17T10:07:25.055,ORD-00071,CLIENT_E,SELL,5000,244.39,AGENCY,MARKET,244.39,244.40
F-00074,2026-08-17T10:07:43.928,ORD-00056,CLIENT_B,SELL,700,244.44,AGENCY,MARKET,244.44,244.45
F-00075,2026-08-17T10:10:25.415,ORD-00072,CLIENT_C,SELL,500,244.47,PRINCIPAL,INTERNAL,244.46,244.48
F-00076,2026-08-17T10:12:57.868,ORD-00073,CLIENT_D,SELL,100,244.34,AGENCY,MARKET,244.34,244.35
F-00077,2026-08-17T10:14:18.755,ORD-00075,CLIENT_H,SELL,100,244.30,AGENCY,MARKET,244.30,244.31
F-00078,2026-08-17T10:15:14.451,ORD-00076,CLIENT_C,SELL,2000,244.35,AGENCY,MARKET,244.35,244.36
F-00079,2026-08-17T10:17:41.938,ORD-00077,CLIENT_I,BUY,500,244.42,PRINCIPAL,INTERNAL,244.41,244.42
F-00080,2026-08-17T10:17:41.938,ORD-00077,CLIENT_I,BUY,500,244.42,AGENCY,MARKET,244.41,244.42
F-00081,2026-08-17T10:21:53.983,ORD-00081,CLIENT_F,BUY,100,244.41,AGENCY,MARKET,244.40,244.41
F-00082,2026-08-17T10:24:34.853,ORD-00084,CLIENT_A,BUY,3000,244.34,AGENCY,MARKET,244.33,244.34
F-00083,2026-08-17T10:25:14.201,ORD-00085,CLIENT_E,BUY,2000,244.33,AGENCY,MARKET,244.32,244.33
F-00084,2026-08-17T10:25:36.639,ORD-00078,CLIENT_E,BUY,400,244.28,AGENCY,MARKET,244.27,244.28
F-00085,2026-08-17T10:26:28.587,ORD-00086,CLIENT_H,BUY,500,244.30,PRINCIPAL,INTERNAL,244.29,244.31
F-00086,2026-08-17T10:28:01.041,ORD-00087,CLIENT_B,BUY,3000,244.21,PRINCIPAL,INTERNAL,244.20,244.22
F-00087,2026-08-17T10:30:20.557,ORD-00088,CLIENT_E,BUY,500,244.27,PRINCIPAL,INTERNAL,244.25,244.28
F-00088,2026-08-17T10:30:24.014,ORD-00089,CLIENT_E,SELL,500,244.26,PRINCIPAL,INTERNAL,244.25,244.27
F-00089,2026-08-17T10:30:40.314,ORD-00090,CLIENT_A,BUY,700,244.28,AGENCY,MARKET,244.27,244.28
F-00090,2026-08-17T10:30:47.925,ORD-00091,CLIENT_H,BUY,200,244.29,PRINCIPAL,INTERNAL,244.28,244.30
F-00091,2026-08-17T10:33:05.608,ORD-00092,CLIENT_F,SELL,1000,244.36,PRINCIPAL,INTERNAL,244.35,244.37
F-00092,2026-08-17T10:35:02.468,ORD-00093,CLIENT_C,BUY,1000,244.31,PRINCIPAL,INTERNAL,244.30,244.32
F-00093,2026-08-17T10:37:49.082,ORD-00094,CLIENT_E,SELL,100,244.20,PRINCIPAL,INTERNAL,244.20,244.21
F-00094,2026-08-17T10:38:55.969,ORD-00057,CLIENT_B,BUY,1000,244.19,AGENCY,MARKET,244.18,244.19
F-00095,2026-08-17T10:39:03.286,ORD-00095,CLIENT_E,SELL,100,244.20,PRINCIPAL,INTERNAL,244.20,244.21
F-00096,2026-08-17T10:41:21.289,ORD-00096,CLIENT_B,SELL,3500,244.26,PRINCIPAL,INTERNAL,244.25,244.28
F-00097,2026-08-17T10:41:22.411,ORD-00096,CLIENT_B,SELL,1500,244.27,PRINCIPAL,INTERNAL,244.26,244.28
F-00098,2026-08-17T10:41:25.837,ORD-00097,CLIENT_C,SELL,100,244.25,AGENCY,MARKET,244.25,244.26
F-00099,2026-08-17T10:41:48.380,ORD-00098,CLIENT_D,BUY,1500,244.24,PRINCIPAL,INTERNAL,244.23,244.24
F-00100,2026-08-17T10:41:48.380,ORD-00098,CLIENT_D,BUY,1500,244.24,AGENCY,MARKET,244.23,244.24
F-00101,2026-08-17T10:41:58.039,ORD-00099,CLIENT_I,SELL,3000,244.23,AGENCY,MARKET,244.23,244.24
F-00102,2026-08-17T10:44:41.231,ORD-00101,CLIENT_B,SELL,5000,244.27,PRINCIPAL,INTERNAL,244.26,244.28
F-00103,2026-08-17T10:44:57.072,ORD-00103,CLIENT_A,SELL,200,244.27,AGENCY,MARKET,244.27,244.28
F-00104,2026-08-17T10:45:58.971,ORD-00105,CLIENT_D,SELL,5000,244.28,AGENCY,MARKET,244.28,244.29
F-00105,2026-08-17T10:47:28.185,ORD-00106,CLIENT_H,BUY,1500,244.30,PRINCIPAL,INTERNAL,244.29,244.30
F-00106,2026-08-17T10:49:03.603,ORD-00107,CLIENT_H,BUY,200,244.29,PRINCIPAL,INTERNAL,244.28,244.29
F-00107,2026-08-17T10:53:28.053,ORD-00104,CLIENT_A,BUY,400,244.21,PRINCIPAL,INTERNAL,244.20,244.22
F-00108,2026-08-17T10:55:07.451,ORD-00083,CLIENT_A,BUY,200,244.17,PRINCIPAL,INTERNAL,244.16,244.18
F-00109,2026-08-17T10:55:07.643,ORD-00108,CLIENT_B,BUY,700,244.17,PRINCIPAL,INTERNAL,244.16,244.18
F-00110,2026-08-17T10:55:11.643,ORD-00109,CLIENT_B,BUY,1000,244.20,PRINCIPAL,INTERNAL,244.19,244.20
F-00111,2026-08-17T10:55:11.643,ORD-00109,CLIENT_B,BUY,2000,244.20,AGENCY,MARKET,244.19,244.20
F-00112,2026-08-17T10:59:14.067,ORD-00110,CLIENT_C,SELL,400,244.22,PRINCIPAL,INTERNAL,244.21,244.23
F-00113,2026-08-17T11:00:34.723,ORD-00111,CLIENT_B,BUY,3000,244.20,PRINCIPAL,INTERNAL,244.19,244.21
F-00114,2026-08-17T11:01:52.077,ORD-00112,CLIENT_C,SELL,100,244.26,PRINCIPAL,INTERNAL,244.25,244.27
F-00115,2026-08-17T11:02:02.661,ORD-00114,CLIENT_D,SELL,200,244.25,PRINCIPAL,INTERNAL,244.25,244.26
F-00116,2026-08-17T11:02:17.280,ORD-00113,CLIENT_C,BUY,200,244.22,AGENCY,MARKET,244.21,244.22
F-00117,2026-08-17T11:03:38.318,ORD-00116,CLIENT_C,SELL,100,244.24,PRINCIPAL,INTERNAL,244.24,244.25
F-00118,2026-08-17T11:03:59.447,ORD-00117,CLIENT_A,BUY,200,244.25,PRINCIPAL,INTERNAL,244.24,244.26
F-00119,2026-08-17T11:04:40.822,ORD-00118,CLIENT_C,BUY,2000,244.24,PRINCIPAL,INTERNAL,244.22,244.25
F-00120,2026-08-17T11:04:47.703,ORD-00119,CLIENT_C,BUY,1000,244.26,AGENCY,MARKET,244.25,244.26
F-00121,2026-08-17T11:05:15.466,ORD-00120,CLIENT_D,SELL,200,244.21,PRINCIPAL,INTERNAL,244.20,244.22
F-00122,2026-08-17T11:07:13.191,ORD-00121,CLIENT_A,SELL,100,244.32,PRINCIPAL,INTERNAL,244.31,244.33
F-00123,2026-08-17T11:07:23.735,ORD-00122,CLIENT_A,BUY,700,244.33,PRINCIPAL,INTERNAL,244.32,244.34
F-00124,2026-08-17T11:07:27.982,ORD-00123,CLIENT_B,SELL,200,244.32,PRINCIPAL,INTERNAL,244.31,244.33
F-00125,2026-08-17T11:08:42.817,ORD-00124,CLIENT_C,SELL,200,244.26,PRINCIPAL,INTERNAL,244.26,244.27
F-00126,2026-08-17T11:09:41.996,ORD-00125,CLIENT_A,BUY,1000,244.25,AGENCY,MARKET,244.24,244.25
F-00127,2026-08-17T11:10:37.970,ORD-00126,CLIENT_A,SELL,100,244.23,PRINCIPAL,INTERNAL,244.22,244.24
F-00128,2026-08-17T11:12:14.794,ORD-00127,CLIENT_G,SELL,3500,244.28,PRINCIPAL,INTERNAL,244.28,244.29
F-00129,2026-08-17T11:12:14.794,ORD-00127,CLIENT_G,SELL,1500,244.28,AGENCY,MARKET,244.28,244.29
F-00130,2026-08-17T11:12:31.169,ORD-00128,CLIENT_A,SELL,3000,244.26,PRINCIPAL,INTERNAL,244.25,244.27
F-00131,2026-08-17T11:15:36.861,ORD-00130,CLIENT_E,SELL,400,244.34,PRINCIPAL,INTERNAL,244.32,244.37
F-00132,2026-08-17T11:16:07.140,ORD-00131,CLIENT_F,BUY,400,244.31,PRINCIPAL,INTERNAL,244.29,244.33
F-00133,2026-08-17T11:16:24.427,ORD-00133,CLIENT_B,BUY,5000,244.36,PRINCIPAL,INTERNAL,244.33,244.39
F-00134,2026-08-17T11:16:27.656,ORD-00134,CLIENT_C,BUY,100,244.40,PRINCIPAL,INTERNAL,244.37,244.42
F-00135,2026-08-17T11:16:46.747,ORD-00132,CLIENT_D,BUY,1000,244.18,PRINCIPAL,INTERNAL,244.15,244.20
F-00136,2026-08-17T11:16:59.261,ORD-00135,CLIENT_D,SELL,200,244.25,PRINCIPAL,INTERNAL,244.23,244.27
F-00137,2026-08-17T11:17:06.321,ORD-00100,CLIENT_D,BUY,3100,244.13,PRINCIPAL,INTERNAL,244.11,244.15
F-00138,2026-08-17T11:17:06.321,ORD-00100,CLIENT_D,BUY,1900,244.15,AGENCY,MARKET,244.11,244.15
F-00139,2026-08-17T11:17:09.766,ORD-00136,CLIENT_C,BUY,1000,244.08,AGENCY,MARKET,244.04,244.08
F-00140,2026-08-17T11:18:17.111,ORD-00138,CLIENT_A,BUY,300,243.75,AGENCY,MARKET,243.70,243.75
F-00141,2026-08-17T11:19:03.235,ORD-00139,CLIENT_A,SELL,1000,243.28,PRINCIPAL,INTERNAL,243.25,243.30
F-00142,2026-08-17T11:19:22.070,ORD-00140,CLIENT_B,BUY,300,243.30,PRINCIPAL,INTERNAL,243.27,243.32
F-00143,2026-08-17T11:20:03.132,ORD-00141,CLIENT_A,SELL,200,243.03,PRINCIPAL,INTERNAL,243.01,243.06
F-00144,2026-08-17T11:20:15.755,ORD-00142,CLIENT_C,SELL,1500,242.99,PRINCIPAL,INTERNAL,242.97,243.02
F-00145,2026-08-17T11:20:51.207,ORD-00143,CLIENT_H,BUY,2400,243.02,PRINCIPAL,INTERNAL,242.99,243.04
F-00146,2026-08-17T11:20:51.207,ORD-00143,CLIENT_H,BUY,2600,243.04,AGENCY,MARKET,242.99,243.04
F-00147,2026-08-17T11:21:12.150,ORD-00144,CLIENT_D,SELL,300,242.83,PRINCIPAL,INTERNAL,242.81,242.85
F-00148,2026-08-17T11:21:44.932,ORD-00145,CLIENT_B,SELL,100,242.90,PRINCIPAL,INTERNAL,242.88,242.92
F-00149,2026-08-17T11:21:52.826,ORD-00147,CLIENT_B,BUY,400,242.83,PRINCIPAL,INTERNAL,242.81,242.85
F-00150,2026-08-17T11:22:22.683,ORD-00149,CLIENT_E,SELL,100,242.93,PRINCIPAL,INTERNAL,242.91,242.96
F-00151,2026-08-17T11:22:29.306,ORD-00150,CLIENT_C,BUY,100,242.88,PRINCIPAL,INTERNAL,242.86,242.90
F-00152,2026-08-17T11:22:29.306,ORD-00150,CLIENT_C,BUY,100,242.90,AGENCY,MARKET,242.86,242.90
F-00153,2026-08-17T11:22:30.912,ORD-00148,CLIENT_D,BUY,1000,242.86,AGENCY,MARKET,242.81,242.86
F-00154,2026-08-17T11:22:34.801,ORD-00146,CLIENT_A,BUY,2000,242.76,AGENCY,MARKET,242.70,242.76
F-00155,2026-08-17T11:22:48.021,ORD-00152,CLIENT_D,SELL,100,242.59,PRINCIPAL,INTERNAL,242.56,242.61
F-00156,2026-08-17T11:24:00.606,ORD-00156,CLIENT_B,BUY,100,242.32,PRINCIPAL,INTERNAL,242.30,242.34
F-00157,2026-08-17T11:24:00.606,ORD-00156,CLIENT_B,BUY,1900,242.34,AGENCY,MARKET,242.30,242.34
F-00158,2026-08-17T11:24:20.437,ORD-00157,CLIENT_C,SELL,1500,242.30,PRINCIPAL,INTERNAL,242.28,242.32
F-00159,2026-08-17T11:31:13.253,ORD-00159,CLIENT_F,SELL,100,242.28,PRINCIPAL,INTERNAL,242.27,242.29
F-00160,2026-08-17T11:35:04.310,ORD-00160,CLIENT_A,SELL,1500,242.26,PRINCIPAL,INTERNAL,242.25,242.27
F-00161,2026-08-17T11:36:14.416,ORD-00161,CLIENT_J,BUY,200,242.28,PRINCIPAL,INTERNAL,242.27,242.29
F-00162,2026-08-17T11:36:42.938,ORD-00158,CLIENT_B,SELL,1500,242.37,PRINCIPAL,INTERNAL,242.36,242.39
F-00163,2026-08-17T11:40:34.069,ORD-00162,CLIENT_H,BUY,100,242.32,AGENCY,MARKET,242.31,242.32
F-00164,2026-08-17T11:40:49.816,ORD-00163,CLIENT_A,BUY,1000,242.33,AGENCY,MARKET,242.32,242.33
F-00165,2026-08-17T11:41:13.403,ORD-00164,CLIENT_I,SELL,100,242.33,PRINCIPAL,INTERNAL,242.32,242.34
F-00166,2026-08-17T11:41:43.986,ORD-00165,CLIENT_D,SELL,100,242.33,PRINCIPAL,INTERNAL,242.33,242.34
F-00167,2026-08-17T11:42:30.549,ORD-00166,CLIENT_G,BUY,100,242.28,AGENCY,MARKET,242.27,242.28
F-00168,2026-08-17T11:44:20.918,ORD-00169,CLIENT_G,BUY,2000,242.24,AGENCY,MARKET,242.23,242.24
F-00169,2026-08-17T11:44:36.482,ORD-00170,CLIENT_E,BUY,1500,242.22,AGENCY,MARKET,242.21,242.22
F-00170,2026-08-17T11:45:15.391,ORD-00167,CLIENT_A,BUY,300,242.17,AGENCY,MARKET,242.16,242.17
F-00171,2026-08-17T11:46:56.645,ORD-00173,CLIENT_C,SELL,900,242.22,PRINCIPAL,INTERNAL,242.22,242.23
F-00172,2026-08-17T11:46:56.645,ORD-00173,CLIENT_C,SELL,600,242.22,AGENCY,MARKET,242.22,242.23
F-00173,2026-08-17T11:47:18.842,ORD-00174,CLIENT_A,BUY,200,242.18,AGENCY,MARKET,242.17,242.18
F-00174,2026-08-17T11:48:31.481,ORD-00176,CLIENT_A,SELL,2000,242.20,AGENCY,MARKET,242.20,242.21
F-00175,2026-08-17T11:50:06.933,ORD-00178,CLIENT_D,SELL,100,242.19,AGENCY,MARKET,242.19,242.20
F-00176,2026-08-17T11:51:58.804,ORD-00179,CLIENT_F,BUY,100,242.10,AGENCY,MARKET,242.09,242.10
F-00177,2026-08-17T11:52:32.613,ORD-00180,CLIENT_D,SELL,1500,242.10,PRINCIPAL,INTERNAL,242.09,242.11
F-00178,2026-08-17T11:53:55.740,ORD-00181,CLIENT_B,BUY,100,242.04,PRINCIPAL,INTERNAL,242.03,242.05
F-00179,2026-08-17T11:54:22.555,ORD-00182,CLIENT_F,BUY,1400,242.10,PRINCIPAL,INTERNAL,242.09,242.10
F-00180,2026-08-17T11:54:22.555,ORD-00182,CLIENT_F,BUY,3600,242.10,AGENCY,MARKET,242.09,242.10
F-00181,2026-08-17T11:54:31.972,ORD-00183,CLIENT_G,SELL,3000,242.08,AGENCY,MARKET,242.08,242.09
F-00182,2026-08-17T11:54:46.279,ORD-00184,CLIENT_E,BUY,3000,242.11,AGENCY,MARKET,242.10,242.11
F-00183,2026-08-17T11:55:14.035,ORD-00185,CLIENT_A,BUY,1000,242.10,PRINCIPAL,INTERNAL,242.08,242.11
F-00184,2026-08-17T11:56:05.847,ORD-00186,CLIENT_A,BUY,300,242.06,AGENCY,MARKET,242.05,242.06
F-00185,2026-08-17T11:57:05.140,ORD-00187,CLIENT_A,BUY,100,242.02,PRINCIPAL,INTERNAL,242.01,242.03
F-00186,2026-08-17T11:57:48.094,ORD-00188,CLIENT_G,SELL,100,241.99,PRINCIPAL,INTERNAL,241.99,242.00
F-00187,2026-08-17T12:00:00.429,ORD-00190,CLIENT_G,BUY,5000,242.09,AGENCY,MARKET,242.08,242.09
F-00188,2026-08-17T12:00:23.384,ORD-00191,CLIENT_A,SELL,1000,242.08,PRINCIPAL,INTERNAL,242.08,242.09
F-00189,2026-08-17T12:00:23.384,ORD-00191,CLIENT_A,SELL,4000,242.08,AGENCY,MARKET,242.08,242.09
F-00190,2026-08-17T12:03:16.717,ORD-00193,CLIENT_A,BUY,700,242.07,PRINCIPAL,INTERNAL,242.05,242.08
F-00191,2026-08-17T12:03:44.241,ORD-00194,CLIENT_B,SELL,1500,242.11,PRINCIPAL,INTERNAL,242.10,242.12
F-00192,2026-08-17T12:05:06.959,ORD-00195,CLIENT_A,BUY,100,242.10,PRINCIPAL,INTERNAL,242.09,242.10
F-00193,2026-08-17T12:06:23.320,ORD-00196,CLIENT_D,SELL,400,242.20,PRINCIPAL,INTERNAL,242.19,242.21
F-00194,2026-08-17T12:07:24.113,ORD-00189,CLIENT_B,SELL,1000,242.23,AGENCY,MARKET,242.23,242.24
F-00195,2026-08-17T12:07:26.312,ORD-00192,CLIENT_C,SELL,500,242.25,AGENCY,MARKET,242.25,242.26
F-00196,2026-08-17T12:08:22.816,ORD-00197,CLIENT_E,SELL,2000,242.23,AGENCY,MARKET,242.23,242.24
F-00197,2026-08-17T12:08:48.576,ORD-00198,CLIENT_J,SELL,700,242.25,PRINCIPAL,INTERNAL,242.24,242.26
F-00198,2026-08-17T12:09:28.145,ORD-00200,CLIENT_G,BUY,300,242.20,PRINCIPAL,INTERNAL,242.19,242.21
F-00199,2026-08-17T12:09:35.377,ORD-00199,CLIENT_G,SELL,2000,242.24,AGENCY,MARKET,242.24,242.25
F-00200,2026-08-17T12:10:11.523,ORD-00201,CLIENT_C,BUY,1500,242.21,PRINCIPAL,INTERNAL,242.20,242.22
F-00201,2026-08-17T12:11:35.795,ORD-00201,CLIENT_C,BUY,1500,242.21,AGENCY,MARKET,242.20,242.21
F-00202,2026-08-17T12:12:29.576,ORD-00202,CLIENT_A,SELL,2000,242.16,AGENCY,MARKET,242.16,242.17
F-00203,2026-08-17T12:14:14.676,ORD-00204,CLIENT_B,SELL,100,242.14,AGENCY,MARKET,242.14,242.15
F-00204,2026-08-17T12:16:01.200,ORD-00205,CLIENT_D,SELL,3000,242.24,AGENCY,MARKET,242.24,242.25
F-00205,2026-08-17T12:17:35.364,ORD-00172,CLIENT_J,SELL,2000,242.36,AGENCY,MARKET,242.36,242.37
F-00206,2026-08-17T12:18:01.878,ORD-00168,CLIENT_A,SELL,100,242.39,PRINCIPAL,INTERNAL,242.38,242.40
